prospect_id,business_name,website,audit_score,primary_leak,secondary_leak,evidence_level,recommended_system,recommended_tier,outreach_angle,decision_maker_status,contact_channel,contact_status,reply_status,conversation_status,demo_status,proposal_status,close_status,next_action,last_contact_date,notes
P11,Oparah Realty,https://oparahrealty.com,68,WhatsApp Integration,Customer Management (no CRM),supported,WhatsApp Lead Response + Follow-Up,Growth,Form leads have no visible tracking or follow-up,unknown,Email: contact@oparahrealty.com; Phone: +2348050480659,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Find WhatsApp/contact on oparahrealty.com then send brief #11,,Tier 2 - critical WhatsApp gap
P12,Zylus Group,https://zylusgroup.com,72,Appointment Management,Social Media Presence (not on LinkedIn/TikTok),supported,Booking Automation,Growth,No online booking on active agency site,unknown,Email: info@zylushomes.com,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via zylusgroup.com then send brief #12,,Tier 2
P13,27th Development,https://27thdevelopment.com,74,Appointment Management,Customer Management (no CRM),supported,Booking Automation + Follow-Up,Growth,Developer - manual booking + no lead tracking,unknown,,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via 27thdevelopment.com then send brief #13,,Tier 3
P14,Palton Morgan Holdings,https://paltonmorgan.com,76,Appointment Management,Customer Management (no CRM),supported,Booking Automation + Follow-Up,Growth,High-ticket luxury funnel with manual booking,unknown,Email: info@paltonmorgan.com; Phone: +02014535098,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via paltonmorgan.com then send brief #14,,Tier 3
P15,Jide Taiwo & Co,https://jidetaiwoandco.com,78,Email Marketing (social reach not converted),,supported,Lead Response + Follow-Up,Growth,Estate surveyors - thin digital enquiry handling vs listing volume,unknown,Email: info@jidetaiwoandco.com; Phone: +07052090092,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via jidetaiwoandco.com then send brief #15,,Tier 3
P16,Vines Realty,https://www.vinesrealtyng.com,79,Live Chat (no chat/instant reply),,supported,WhatsApp Lead Response,Growth,Immediate-response expectation gap + reactivation angle,unknown,Email: connect@vinesrealtyng.com; Phone: +2348004000300,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via vinesrealtyng.com then send brief #16,,Tier 3
P17,Sujimoto Group,https://sujimotonig.com,82,Optimization Opportunity (already sophisticated),,estimated,Follow-Up + Recovery,Growth,Luxury developer - strengthen follow-up discipline on high-value enquiries,unknown,Email: info@sujimotonig.com; Phone: +2348098521646,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via sujimotonig.com then send brief #17,,Tier 3 - benchmark conversation
P18,Homely (Lagos),https://joinhomely.com,82,Customer Management (no CRM),,supported,Follow-Up + CRM,Growth,Short-let/proptech - enquiries not tracked into a follow-up loop,unknown,WhatsApp mention,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via joinhomely.com then send brief #18,,Tier 3
P19,Jupitaar,https://jupitaar.com,82,Customer Management (no CRM),,supported,Follow-Up + CRM,Growth,Short-let management - customer management gap,unknown,Email: Info@jupitaar.com; Phone: +2349168177807,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via jupitaar.com then send brief #19,,Tier 3
P20,Ramos Real Estate,https://ramosrealestateng.com,82,Optimization Opportunity (already sophisticated),,estimated,Recovery + Optimisation,Growth,Luxury benchmark - good conversation opener,unknown,Email: hello@ramosrealestateng.com; Phone: +08133355522,not_contacted,no_reply,no_conversation,no_demo,no_proposal,open,Contact via ramosrealestateng.com then send brief #20,,Tier 3 - benchmark
